run_id,as_of,account_id,account_type,industry,action,reason,queued,queue_position,in_holdout,score,rank,snapshot_age_days,intent_imputed,never_contacted,score_if_intent_low,score_if_intent_high,why
d4d9ab11-d684-4412-aa31-92245e826041,2026-08-01,ACC-01073,Prospect,Healthcare,HOLD,below the level where this model's ranking carries any signal (score 0.041),False,,False,0.04088057695028009,275,112,True,True,0.04521592393009381,0.04725222353561751,nothing stands out
d4d9ab11-d684-4412-aa31-92245e826041,2026-08-01,ACC-00533,Prospect,Manufacturing,CALL_NOW,top tier and current (13 days old),True,8.0,False,0.1219406610049066,15,13,False,True,0.04960847734632922,0.05183185676249175,"third-party intent score of 63, against a typical 25 · 7 website visits in the 90 days to 2026-08-01"
d4d9ab11-d684-4412-aa31-92245e826041,2026-08-01,ACC-01319,Prospect,Retail,HOLD,below the level where this model's ranking carries any signal (score 0.041),False,,False,0.04088057695028009,276,351,True,True,0.04521592393009381,0.058029955787361205,nothing stands out
d4d9ab11-d684-4412-aa31-92245e826041,2026-08-01,ACC-00160,Suspect,Professional Services,NURTURE,"middle of the range - worth a campaign, not a call",False,,False,0.07323581038377505,90,117,False,False,0.06842072468310358,0.0693904822419244,"8 website visits in the 90 days to 2026-08-01 · third-party intent score of 7, against a typical 25"
d4d9ab11-d684-4412-aa31-92245e826041,2026-08-01,ACC-00275,Suspect,Healthcare,HOLD,below the level where this model's ranking carries any signal (score 0.049),False,,False,0.049379659842334306,171,118,False,False,0.04725622728006421,0.049379659842334306,"third-party intent score of 46, against a typical 25"
d4d9ab11-d684-4412-aa31-92245e826041,2026-08-01,ACC-00144,Prospect,Financial Services,HOLD,below the level where this model's ranking carries any signal (score 0.050),False,,False,0.050096025152385815,166,292,False,True,0.046849631525165004,0.04895573272368234,"third-party intent score of 20, against a typical 25 · 6 website visits in the 90 days to 2026-08-01"
d4d9ab11-d684-4412-aa31-92245e826041,2026-08-01,ACC-00989,Suspect,Professional Services,NURTURE,"middle of the range - worth a campaign, not a call",False,,False,0.08684647485124945,62,92,True,True,0.09557073246285988,0.09310373337224374,9 website visits in the 90 days to 2026-08-01 · 9 employees
d4d9ab11-d684-4412-aa31-92245e826041,2026-08-01,ACC-00270,Suspect,Financial Services,NURTURE,"middle of the range - worth a campaign, not a call",False,,False,0.08755912602863473,60,95,False,False,0.08188552274842166,0.0760760838692745,"5 logged sales contacts · third-party intent score of 12, against a typical 25"
d4d9ab11-d684-4412-aa31-92245e826041,2026-08-01,ACC-01192,Prospect,Software,HOLD,below the level where this model's ranking carries any signal (score 0.050),False,,False,0.04957583762372842,168,120,False,True,0.04636150866164821,0.045101419521817086,"third-party intent score of 19, against a typical 25"
d4d9ab11-d684-4412-aa31-92245e826041,2026-08-01,ACC-00272,Prospect,Financial Services,HOLD,below the level where this model's ranking carries any signal (score 0.050),False,,False,0.05019108787490342,165,555,False,False,0.049475383903966996,0.05019108787490342,"third-party intent score of 44, against a typical 25 · 6 website visits in the 90 days to 2026-08-01"
d4d9ab11-d684-4412-aa31-92245e826041,2026-08-01,ACC-00915,Prospect,Retail,NURTURE,"middle of the range - worth a campaign, not a call",False,,False,0.09501886788438467,45,104,False,False,0.08387854530988512,0.09501886788438467,"6 logged sales contacts · third-party intent score of 44, against a typical 25 · in Retail"
